,trade_year,main_use_missing,building_age,building_age_missing,building_area_m2,building_area_ping,main_building_area_m2,main_building_area_ping,auxiliary_area_m2,balcony_area_m2,land_area_m2,floor,total_floor,floor_ratio,is_basement,multi_floor,rooms,living_rooms,bathrooms,has_management,has_elevator,has_parking,parking_area_m2,physical_condition_flag,renovation_flag,broad_note_flag,district_median_price_180d,district_median_price_365d,district_count_180d,district_type_median_price_180d,district_type_median_price_365d,district_type_count_180d,district_price_change_180_365,district_type_price_change_180_365,comp_365d_count,comp_365d_median_price,comp_365d_mean_price,comp_365d_weighted_mean_price,comp_365d_std_price,comp_365d_nearest_price,comp_365d_nearest_distance,comp_365d_median_distance,comp_365d_median_days_diff,comp_365d_median_area_diff_pct,comp_365d_median_age_diff,comp_730d_count,comp_730d_median_price,comp_730d_mean_price,comp_730d_weighted_mean_price,comp_730d_std_price,comp_730d_nearest_price,comp_730d_nearest_distance,comp_730d_median_distance,comp_730d_median_days_diff,comp_730d_median_area_diff_pct,comp_730d_median_age_diff
trade_year,1.0,0.08680948824999195,0.21894335291080136,-0.23859706605515546,-0.08487503018548652,-0.08487503018548712,-0.03409656716587309,-0.034096567165860445,-0.03645072192384822,-0.04093281480636303,-0.024628812113994612,-0.0514998397182988,-0.07834306818944571,0.015195716951726836,-0.008250785456136089,0.031074098118106096,0.0023723805756712935,0.012952647294402805,0.00415777146604129,-0.015454504672242731,-0.0577786475329718,-0.08789059339478392,-0.07390019740356933,0.07405643843078671,0.011182629414079602,0.31184732880476823,0.3772867418925264,0.3557451943439964,-0.04700401436821899,0.34066820522085883,0.32322802496379954,0.03785532866756585,0.2378992958651168,0.15825419403263088,0.17009884967739,0.29902447119865483,0.30421343110699706,0.30182286869899927,0.20182162016139948,0.2574657932802653,-0.14915240738909732,-0.1459866836377276,0.10385333651886496,-0.09519096496431889,-0.02379208877239501,0.16071368894977367,0.29072175173326,0.29507332672338393,0.29358817272897353,0.18630555739483284,0.25334464711631133,-0.1733072269045393,-0.18749714753118,0.1485272099990677,-0.12763326801657457,-0.05835100058432545
main_use_missing,0.08680948824999195,1.0,0.11331932664758816,0.1701236131737383,-0.03726064287350501,-0.0372606428735041,0.038902761504867246,0.03890276150486798,-0.033860428532084944,-0.1005760852377634,0.029689493137654555,-0.0693593289778537,-0.09227799619610835,0.010864844234522877,-0.0018962577572905726,0.09354493958770937,0.005777881932684944,-0.02159987833811206,-0.012358700763130552,-0.1095078182930682,-0.1324881611285973,-0.07755665363209026,-0.050406907395031716,0.019725616760400563,-0.004057487864556185,0.04419566816477686,0.10911608201037098,0.10828338670005601,-0.0314349811938306,0.034141449837676446,0.03247082904016258,-0.05049843324736741,0.017156029966013498,0.01872394726092224,0.008396084975052936,0.023544223255323612,0.028680934583755396,0.02826298526834027,0.03918198490851098,0.025930259503323966,0.09898122318818808,0.0660153144161347,-0.008968176450311735,0.00873659219047988,0.0070408261150820915,0.007789882343337986,0.023792091637600935,0.028215485606923864,0.02810057979010285,0.04027239409389342,0.02648608154569896,0.09747655335494795,0.06592279781649153,-0.008537549702584354,0.0006467441212517086,0.009920986175927312
building_age,0.21894335291080136,0.11331932664758816,1.0,,-0.3423989398689488,-0.34239893986894404,0.08966871832741902,0.08966871832741856,-0.16652452382517696,-0.061791103102811475,0.040977638756621484,-0.36498167888835614,-0.5782701547673573,0.16788569934640896,0.003851675422486545,0.21201118007938818,0.2024898953563465,0.11787074318374335,0.058367474169771456,-0.5694357989699464,-0.6217566597514913,-0.6416136250335174,-0.4901727389595776,0.24647175941695604,-0.09573014972432238,0.23196809554569278,0.16086706204749374,0.15845715244769684,-0.04490182161979712,-0.1562900911661263,-0.15791092144984942,-0.0927278507614321,0.045875367230523295,0.013220764838928162,0.006686682758972009,-0.3333149679809441,-0.32416326915627164,-0.3278883299656234,-0.14130086737201944,-0.29235860023663235,-0.09796909963939218,-0.1658770733600259,-0.1395605704082444,-0.05054193440568884,-0.01975143913351837,0.002342558901662514,-0.3367964403214044,-0.3299727112486998,-0.3321258565999039,-0.13536803543340448,-0.2902553098414965,-0.09171376229322704,-0.15608143310074693,-0.12490395801347537,-0.051799815285136566,-0.012921852921692178
building_age_missing,-0.23859706605515546,0.1701236131737383,,1.0,-0.045237666900285876,-0.0452376669002856,0.013792466469083626,0.01379246646908191,-0.04175735958709798,-0.12102315554337004,0.011564142188440268,-0.05553181045967905,-0.06823670679696912,0.012819327376736637,-0.004952777935910382,0.13472247043724603,0.015790225361585426,-0.010545394934300366,-0.030708098822842016,-0.17761351247213664,-0.12574474946219094,-0.05342289756458754,-0.007808818823126565,-0.03564427643498628,-0.016304063515572217,-0.06731090355728682,0.06200236093969464,0.07005877437591587,-0.1560357225023758,-0.02996782825333162,-0.025124693106220456,-0.14664328387527978,-0.0642177038837303,-0.03290697377029871,-0.14570509722726208,-0.024229206631817022,-0.022430228453647064,-0.022808632811808643,-0.030467293073914,-0.01578619114086774,0.5586546612117963,0.3971221069490309,-0.05104453448781323,0.02542348163179656,,-0.12984015685032935,-0.02026540491897857,-0.018441938726333804,-0.019179751396950846,-0.019633444819429326,-0.012802458229309963,0.5736863358416653,0.42578519207954707,-0.0633279894345086,0.04078294528910734,
building_area_m2,-0.08487503018548652,-0.03726064287350501,-0.3423989398689488,-0.045237666900285876,1.0,1.0,0.8281253669278051,0.8281253669277937,0.2918288581445198,0.5921062660436909,0.5665385790593165,0.21779825939434516,0.35255608661661164,-0.09192429614532914,-0.006993993031369796,0.012563815332595717,0.3866693779375049,0.28832392087257586,0.4506590982157771,0.20943274771978637,0.23113607483885373,0.5752004549415013,0.6754730068011923,-0.10446277143880409,0.04862669576022228,-0.07020613877268135,-0.04569915891362234,-0.044142351367921925,0.02301474533423435,0.10063920493697648,0.10305188547567597,0.0708516841120973,-0.01838508076903615,-0.018426642344846783,0.001417479541013272,0.14623265287528114,0.15061861181646985,0.15228848622810565,0.18222253405238265,0.13217012776519382,0.005816637998259121,-0.017162158528513972,-0.041403437813023795,0.03593488644865153,-0.02865901384544755,0.007668135880619227,0.1515233801196665,0.15654709746939902,0.15723354865503353,0.1880484325937466,0.13497358060742493,0.0018649950701343067,-0.01242657710058514,-0.01793603991184847,0.016311732497447953,-0.017796704007913906
building_area_ping,-0.08487503018548712,-0.0372606428735041,-0.34239893986894404,-0.0452376669002856,1.0,1.0,0.8281253669277893,0.8281253669277776,0.29182885814451126,0.5921062660436747,0.5665385790593107,0.21779825939434447,0.35255608661660903,-0.09192429614532958,-0.0069939930313698715,0.012563815332595311,0.38666937793750106,0.2883239208725703,0.45065909821577016,0.20943274771978465,0.23113607483885326,0.5752004549414996,0.6754730068011893,-0.10446277143880617,0.048626695760222216,-0.0702061387726797,-0.04569915891362309,-0.04414235136792769,0.02301474533423766,0.10063920493698256,0.10305188547566786,0.07085168411210065,-0.01838508076904037,-0.01842664234484348,0.0014174795410137767,0.14623265287527537,0.15061861181646297,0.1522884862280997,0.18222253405238076,0.13217012776518652,0.0058166379982611096,-0.01716215852851178,-0.04140343781302586,0.03593488644865329,-0.02865901384544719,0.007668135880620078,0.15152338011966296,0.1565470974693972,0.15723354865502137,0.18804843259374138,0.13497358060742579,0.0018649950701349895,-0.012426577100584984,-0.017936039911850447,0.016311732497449365,-0.017796704007912344
main_building_area_m2,-0.03409656716587309,0.038902761504867246,0.08966871832741902,0.013792466469083626,0.8281253669278051,0.8281253669277893,1.0,1.0,0.14555603642134168,0.558267488281032,0.6287378089645093,0.01996706865581877,0.06083222644158811,-0.021901897557210916,-0.002031929247787515,0.172125655954446,0.5549648847824458,0.3958645894836805,0.5287157325466215,-0.09649970860751318,-0.10348412272060425,0.22310787830253634,0.3343675314935018,0.011662601453458113,0.0038486709920075583,0.016791162696794832,0.015888675227606803,0.01689356124812163,0.014149083539902775,0.002649255970450316,0.003978582141514034,0.02718139857323708,-0.008813368288255005,-0.011960993703380154,0.020612881711695768,-0.019752948936581066,-0.012620938710091276,-0.011628977981111812,0.09478853985621992,-0.011048018705515339,-0.011419772744575122,-0.08947589332682034,-0.15744217146058867,-0.012007122367429022,-0.040156359016273326,0.02217674668198999,-0.014787008537468015,-0.007474692238094914,-0.006832907184875459,0.10502415334977133,-0.00617021071364918,-0.005144447266893914,-0.0663257200973124,-0.12410576837284266,-0.019353634867379895,-0.024063006784303145
main_building_area_ping,-0.034096567165860445,0.03890276150486798,0.08966871832741856,0.01379246646908191,0.8281253669277937,0.8281253669277776,1.0,1.0,0.1455560364213376,0.5582674882810383,0.6287378089645116,0.019967068655819247,0.06083222644158878,-0.02190189755721018,-0.0020319292477876997,0.17212565595444354,0.5549648847824442,0.39586458948367437,0.528715732546621,-0.096499708607512,-0.10348412272060614,0.2231078783025345,0.3343675314934948,0.011662601453458973,0.0038486709920075657,0.016791162696798444,0.015888675227609703,0.016893561248115172,0.014149083539899568,0.002649255970439315,0.003978582141519564,0.027181398573234997,-0.008813368288253765,-0.011960993703385919,0.020612881711696483,-0.019752948936576045,-0.012620938710085823,-0.011628977981105777,0.09478853985622356,-0.011048018705509604,-0.011419772744576423,-0.08947589332682084,-0.157442171460587,-0.012007122367430009,-0.04015635901627213,0.022176746681990094,-0.014787008537468286,-0.007474692238095521,-0.006832907184876958,0.10502415334977248,-0.006170210713649993,-0.0051444472668941595,-0.06632572009731459,-0.12410576837284173,-0.01935363486738101,-0.024063006784302034
auxiliary_area_m2,-0.03645072192384822,-0.033860428532084944,-0.16652452382517696,-0.04175735958709798,0.2918288581445198,0.29182885814451126,0.14555603642134168,0.1455560364213376,1.0,-0.0049822243805821955,0.14261810905632133,0.021997911588197208,0.09120554750189648,-0.12291015783115186,0.0023339511779457388,0.0036205309697523312,0.07426724762095255,0.07145840307082722,0.11905572104318796,0.0775788588492541,0.08020135491261973,0.19146314716330967,0.16899865092684413,0.016591317028695398,0.008754539114167558,0.030339223406909786,-0.04957302794369824,-0.04993173307150512,0.024037070318453656,-0.0015274042441245242,-0.001538095791982886,0.02029847258819276,-0.0017282812671839194,-0.0018903636189929196,-0.003008489216832632,0.03500388791515412,0.03796320405287692,0.038670526097390225,0.07655275138196087,0.03285786796588102,0.046799527690546704,0.056659874049858915,0.017655703777933355,0.07515378465875637,0.01648767255863747,-0.0010743500665115755,0.0370619759125172,0.04090748738583251,0.041015869489680494,0.08317755085646528,0.035244336221426274,0.03674284212458494,0.05130095533906995,0.03178393272188663,0.055317385887280815,0.020217437650717752
balcony_area_m2,-0.04093281480636303,-0.1005760852377634,-0.061791103102811475,-0.12102315554337004,0.5921062660436909,0.5921062660436747,0.558267488281032,0.5582674882810383,-0.0049822243805821955,1.0,0.33752316430449963,0.1346326460134668,0.15297988311333832,0.06655562307772812,-0.012734194749495104,-0.20297778771939018,0.36397543133877946,0.28131409201253493,0.3830851265812707,0.07426717868297272,0.10929962296259185,0.20579831869166007,0.25900957662633467,-0.01060886898663893,0.003484593056269882,-0.01713069415048125,-0.023493528218976458,-0.022547312810766256,0.044835336955284584,0.041746317581769665,0.04282137045347113,0.04847126186304257,-0.009921074150195518,-0.00793785047294114,0.01542478960844454,0.004141379679292048,0.00021422720660672917,-0.0008254359194900068,0.0008998882322801695,-0.009570862686244054,-0.08603827279092649,-0.10559148627332525,-0.06985970186918779,-0.01572170127263097,-0.03120371915206702,0.017925726593228608,0.003104297874999167,-0.0005756131230227113,-0.002009347461697661,-0.0005970568083374492,-0.011040248623518815,-0.08235104580571581,-0.09582924980640807,-0.05085877830275395,-0.020118415651425397,-0.023253891147734237
land_area_m2,-0.024628812113994612,0.029689493137654555,0.040977638756621484,0.011564142188440268,0.5665385790593165,0.5665385790593107,0.6287378089645093,0.6287378089645116,0.14261810905632133,0.33752316430449963,1.0,-0.2235259932463738,-0.24920121375285573,-0.024098880181676118,0.009927641142893991,0.1671585737717374,0.42581510393779676,0.32369766062892114,0.398595136839352,-0.15797438983569712,-0.21101800997982745,0.19934618404712373,0.24387224331891086,0.05223257424737462,0.08052317763758318,0.05218514807553332,-0.1629139572295851,-0.16252309601762815,0.045536654013096194,-0.2272012825972093,-0.22705807711822143,-0.031332846364469764,-0.02035508633067839,-0.01811215952304884,0.017865453818444704,-0.1914722117204823,-0.1906808412962631,-0.18907148155674686,-0.0022930549669902566,-0.160175110954678,-0.010783706652157226,-0.06739199001782409,-0.12461888992315177,-0.012203132960497659,-0.022980246576897945,0.016329073191607386,-0.18599037777726474,-0.18545363159515385,-0.18412709036913064,0.007131863556227661,-0.15570927316426572,-0.006945992929010577,-0.05074376935957794,-0.09278861360411182,-0.01785365783391485,-0.015138661442760985
floor,-0.0514998397182988,-0.0693593289778537,-0.36498167888835614,-0.05553181045967905,0.21779825939434516,0.21779825939434447,0.01996706865581877,0.019967068655819247,0.021997911588197208,0.1346326460134668,-0.2235259932463738,1.0,0.695965582078135,0.5093053570876883,-0.030600576195590746,-0.1333076946047963,-0.11953350129659591,-0.08783110466857193,-0.03101034720387302,0.3978455207726498,0.4392735207569187,0.2770419073665122,0.2619182922731955,-0.15617250864665144,-0.0006122597983893311,-0.141062671326614,0.04239053977543357,0.04383162445384729,-0.019417052066448597,0.27592416370830136,0.27769830092377085,0.12059903813099124,-0.009967639479173632,-0.0023365447870057833,-0.009087998921920628,0.2619987906232356,0.25883773131767956,0.2601866495627964,0.0599653537740808,0.2253271424767374,-0.012685928365298383,0.030460686296293605,0.09234730742559358,0.020413664110525833,-0.01254903917871352,-0.003321326318371243,0.2626236490051519,0.25930300619633856,0.26037414670206893,0.04904769453526511,0.22356302924533902,-0.019376913929903972,0.016380395269190634,0.07610876476503192,0.012844554952051031,-0.01745995317788017
